Station,Stn No.,Type,Parameter,TS Name,TS ID,From,To
Gauge - Crotch Lake,MVCA5,Cell Volts,Voltage - battery,01.Original,434042,2007-10-01 0:00,2015-07-14 10:00
Gauge - Carp River at Richardson,MVCA11,HD,Cell End,101.Original,37035042,2017-03-02 0:00,2019-02-20 21:00
Gauge - Poole Creek at Maple Grove,MVCA12,HD,Cell End,101.Original,37066042,2017-05-09 7:45,2020-10-27 14:00
Gauge - Carp River at Richardson,MVCA11,HD,Cell End,102.Edited,37036042,2017-03-02 0:00,2019-02-20 21:00
Gauge - Poole Creek at Maple Grove,MVCA12,HD,Cell End,102.Edited,37067042,2017-05-09 7:45,2020-10-27 14:00
Gauge - Ottawa River at Britannia,02KF005,HG,Stage,01. Original,36885042,1982-06-01 10:30,2023-06-15 13:35
Ottawa River at Britannia,02KF005,HG,Stage,01.Original,2247042,1982-06-01 10:30,2023-06-15 13:35
Graham Creek at Nepean,02KF015,HG,Stage,01.Original,2261042,2013-06-30 23:00,2019-06-02 18:30
Gauge - Ottawa River at Britannia,02KF005,HG,Stage,02. Editable,44564042,1982-06-01 10:30,2023-06-15 13:35
Ottawa River at Britannia,02KF005,HG,Stage,02.Edit,21327042,1982-06-02 0:00,2023-06-15 13:35
Graham Creek at Nepean,02KF015,HG,Stage,02.Production,2536042,2013-06-30 23:00,2019-06-02 18:30
Graham Creek at Nepean,02KF015,HG,Stage,03.DayMean,10325042,2013-06-30 0:00,2019-06-02 0:00
Ottawa River at Britannia,02KF005,HG,Stage,03.DayMean,21335042,1982-06-01 0:00,2023-06-16 0:00
Ottawa River at Britannia,02KF005,HG,Stage,04.Hourly,21331042,1982-06-02 0:00,2023-06-15 12:00
Ottawa River at Britannia,02KF005,HG,Stage,04.Hourly.MAX,58179042,1982-06-02 0:00,2023-06-15 14:00
Ottawa River at Britannia,02KF005,HG,Stage,06.5 Flood Indicator Rollout,12249042,1900-01-02 0:00,2073-12-31 0:00
Ottawa River at Britannia,02KF005,HG,Stage,06.Flood Indicator,12029042,2014-01-01 0:00,2014-12-31 0:00
Ottawa River at Britannia,02KF005,HG,Stage,07.5 Flood Threshold Rollout,12250042,1900-01-02 0:00,2073-12-31 0:00
Ottawa River at Britannia,02KF005,HG,Stage,07.Flood Threshold,12030042,2014-01-01 0:00,2014-12-31 0:00
Ottawa River at Britannia,02KF005,HG,Stage,08.100 year flood,12031042,2014-01-01 0:00,2014-12-31 0:00
Ottawa River at Britannia,02KF005,HG,Stage,08.5 100 year flood Rollout,12251042,1900-01-02 0:00,2073-12-31 0:00
Ottawa River at Britannia,02KF005,HG,Stage,08.HistoricNormal_10PCTL_Daily,62216042,1982-06-02 0:00,2023-06-16 0:00
Ottawa River at Britannia,02KF005,HG,Stage,08.HistoricNormal_5PCTL_Daily,62217042,1982-06-02 0:00,2023-06-16 0:00
Ottawa River at Britannia,02KF005,HG,Stage,08.HistoricNormal_90PCTL_Daily,62218042,1982-06-02 0:00,2023-06-16 0:00
Ottawa River at Britannia,02KF005,HG,Stage,08.HistoricNormal_95PCTL_Daily,62219042,1982-06-02 0:00,2023-06-16 0:00
Ottawa River at Britannia,02KF005,HG,Stage,09.HistoricNormal_LowerQuartile_Daily,58180042,1982-06-02 0:00,2023-06-16 0:00
Ottawa River at Britannia,02KF005,HG,Stage,09.HistoricNormal_Mean_Daily,58181042,1982-06-02 0:00,2023-06-16 0:00
Ottawa River at Britannia,02KF005,HG,Stage,09.HistoricNormal_Median_Daily,59673042,1982-06-02 0:00,2023-06-16 0:00
Ottawa River at Britannia,02KF005,HG,Stage,09.HistoricNormal_UpperQuartile_Daily,58182042,1982-06-02 0:00,2023-06-16 0:00
Ottawa River at Britannia,02KF005,HG,Stage,10.Delta_24HR,62204042,2016-09-02 0:00,2023-06-15 12:00
Gauge - Buckshot Creek near Plevna,02KF017,HG,Stage,101.Original,50042,1994-03-07 12:00,2023-06-15 12:40
Gauge - Shabomeka Lake,MVCA1,HG,Stage,101.Original,352042,1994-09-03 0:00,2023-06-15 13:00
Gauge - Mazinaw Lake,MVCA2,HG,Stage,101.Original,353042,1994-04-28 0:00,2023-06-12 10:00
Gauge - Kashwakamak Lake,MVCA3,HG,Stage,101.Original,356042,1993-12-13 0:00,2023-06-15 13:00
Gauge - Big Gull Lake,MVCA4,HG,Stage,101.Original,359042,1994-12-01 0:00,2023-06-15 13:00
Gauge - Crotch Lake,MVCA5,HG,Stage,101.Original,362042,1991-10-30 0:00,2015-07-14 10:00
Gauge - Palmerston Lake,MVCA6,HG,Stage,101.Original,364042,2000-01-13 11:00,2023-06-15 13:00
Gauge - Lanark,MVCA7,HG,Stage,101.Original,365042,2011-12-28 0:00,2023-06-15 13:10
Gauge - Mississippi Lake,MVCA8,HG,Stage,101.Original,370042,2002-02-01 1:00,2023-06-15 13:00
Gauge - Carleton Place Dam,MVCA9,HG,Stage,101.Original,371042,2008-11-18 0:00,2023-06-15 13:00
Gauge - Carp River near Kinburn,02KF011,HG,Stage,101.Original,376042,1972-01-01 0:00,2023-06-15 12:40
Gauge - Clyde River at Gordon Rapids,02KF013,HG,Stage,101.Original,380042,1985-04-11 0:00,2023-06-15 12:40
Gauge - Clyde River near Lanark,02KF010,HG,Stage,101.Original,384042,1991-01-01 0:00,2023-06-15 12:40
Gauge - Fall River at outlet Bennett Lake,02KF018,HG,Stage,101.Original,389042,1974-09-17 11:00,2023-06-13 15:30
